dish_id,total_calories,total_mass,total_fat,total_carb,total_protein,ingredient_names,image_path
dish_1561662216,300.794281,193.0,12.387489,28.21829,18.63397,"soy sauce, garlic, white rice, parsley, onions, brown rice, vinegar, apple, mixed greens, sugar, salt, lemon juice, olive oil, pork, bok choy, pepper, millet",../imagery/realsense_overhead/dish_1561662216\rgb.png
dish_1562688426,137.569992,88.0,8.256,5.19,10.297,"roasted potatoes, chicken apple sausage",../imagery/realsense_overhead/dish_1562688426\rgb.png
dish_1561662054,419.438782,292.0,23.838249,26.351543,25.910593,"pepper, white rice, mixed greens, garlic, soy sauce, millet, lemon juice, bok choy, olive oil, onions, vinegar, green beans, pork, apple, sugar, salt, parsley",../imagery/realsense_overhead/dish_1561662054\rgb.png
dish_1562008979,382.936646,290.0,22.224644,10.17357,35.345387,"jalapenos, lemon juice, pork, wheat berry, cabbage, pepper, salt, carrot, garlic, caesar salad, olive oil, parsley, mayonnaise",../imagery/realsense_overhead/dish_1562008979\rgb.png
dish_1560455030,20.59,103.0,0.148,4.625,0.956,"cherry tomatoes, cucumbers, baby carrots",../imagery/realsense_overhead/dish_1560455030\rgb.png
dish_1558372433,74.360001,143.0,0.286,0.429,20.02,deprecated,../imagery/realsense_overhead/dish_1558372433\rgb.png
dish_1563379132,232.050003,119.0,14.28,14.28,10.591001,chilaquiles,../imagery/realsense_overhead/dish_1563379132\rgb.png
dish_1565640549,45.482903,139.0,1.568471,7.043886,2.641478,"tomatoes, cilantro, olive oil, mustard greens, lemon juice, onions, cucumbers, salt, arugula, jalapenos, asparagus, lime, mangos, cherry tomatoes",../imagery/realsense_overhead/dish_1565640549\rgb.png
dish_1563207364,309.269989,271.0,13.774,30.657,15.01,"scrambled eggs, yam, grapes, egg whites, olive oil, sweet potato",../imagery/realsense_overhead/dish_1563207364\rgb.png
dish_1561575474,120.058434,183.0,4.966118,17.412746,2.990431,"salt, eggplant, roasted potatoes, cauliflower, olive oil",../imagery/realsense_overhead/dish_1561575474\rgb.png
dish_1550795690,68.119995,131.0,0.262,18.34,0.393,apple,../imagery/realsense_overhead/dish_1550795690\rgb.png
dish_1563216717,246.007996,332.0,5.636517,16.284782,33.06871,"garlic, squash, cherry tomatoes, chicken breast, spinach (raw), parmesan cheese, wheat berry, olive oil, thyme, honeydew melons, salt, broccoli",../imagery/realsense_overhead/dish_1563216717\rgb.png
dish_1565972591,195.199997,122.0,12.2,3.66,17.08,chicken apple sausage,../imagery/realsense_overhead/dish_1565972591\rgb.png
dish_1568649312,44.459999,78.0,0.234,10.92,0.546,berries,../imagery/realsense_overhead/dish_1568649312\rgb.png
